Node	Total SNPs	Number of SNPs Inside Recombinations	Number of SNPs Outside Recombinations	Number of Recombination Blocks	Bases in Recombinations	Cumulative Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame
ERR439312	4300	1904	2396	122	71439	205745	0.794658	0.050918	2031466	1881680
SRR13300793	1768	1303	465	58	15455	494821	2.802150	0.124731	2122306	1724764
ERR779774	2787	1568	1219	83	49939	200573	1.286300	0.068089	2118905	1989360
ERR9668982	2178	1601	577	77	42199	461602	2.774697	0.133449	2144902	1752878
ERR9838756	3406	1978	1428	102	81843	314707	1.385154	0.071429	2137451	1873881
HHH013	723	582	141	26	17529	487056	4.127660	0.184397	2131250	1737973
ERR9839060	2013	1866	147	53	17586	580323	12.693877	0.360544	2147186	1730321
SRR11904906	3029	2263	766	92	84496	466965	2.954308	0.120104	2151523	1757957
GCs54C	625	481	144	26	14440	359765	3.340278	0.180556	2146620	1896333
SRR6765429	442	398	44	12	1558	411077	9.045455	0.272727	2036097	1684523
ERR7985863	1381	1094	287	53	22298	609889	3.811847	0.184669	2139563	1609692
GCs47U	714	560	154	27	23848	632188	3.636364	0.175325	2086391	1529411
ERR363607	951	765	186	38	16700	422336	4.112903	0.204301	2131815	1821935
SRR1661154	2106	1320	786	73	62527	320507	1.679389	0.092875	2098915	1840786
7M	1390	1183	207	44	19143	522866	5.714976	0.212560	2117303	1716221
SRR5827339	1121	890	231	49	42756	360717	3.852814	0.212121	2100688	1876315
SRR2736118	2953	2087	866	91	76507	293785	2.409931	0.105081	2093548	1912891
LLL023	850	625	225	42	31294	457636	2.777778	0.186667	2077340	1699908
ERR1528236	1722	1413	309	65	25342	416066	4.572815	0.210356	2141811	1858338
GCGS0624	519	426	93	31	25688	355933	4.580645	0.333333	2110344	1845401
SRR5827229	2136	1689	447	73	58094	395173	3.778523	0.163311	2100836	1799574
ERR349978	1088	869	219	36	46861	465496	3.968036	0.164384	2119303	1768602
GGG020	134	105	29	9	2545	510789	3.620690	0.310345	2071481	1602912
GCGS0438	1093	908	185	48	39500	469753	4.908108	0.259459	2123820	1778000
ERR7976264	958	739	219	44	34431	517089	3.374429	0.200913	2095524	1688057
ERR7977494	672	532	140	28	6186	456202	3.800000	0.200000	2093667	1729595
ERR9668925	1758	1520	238	56	28851	552094	6.386555	0.235294	2107745	1670804
HHH038	502	439	63	20	19296	436981	6.968254	0.317460	2144959	1743079
ERR9838909	1342	941	401	55	11257	566546	2.346633	0.137157	2139827	1635488
ERR439325	1604	875	729	54	38773	233027	1.200274	0.074074	2127849	1949582
SRR13429265	203	58	145	7	627	320845	0.400000	0.048276	2063851	1771030
ERR439367	3129	1695	1434	101	45696	229739	1.182008	0.070432	2125249	1955191
ERR1549677	1897	1195	702	70	43177	337134	1.702279	0.099715	2131644	1869714
ERR1514845	1124	870	254	30	13686	432351	3.425197	0.118110	2138443	1797996
ERR449505	3412	1622	1790	99	108455	171268	0.906145	0.055307	2128572	2019010
ERR349892	964	812	152	43	30334	368706	5.342105	0.282895	2124192	1864625
ERR9838554	2989	1713	1276	85	63765	328424	1.342476	0.066614	2092891	1833968
SRR1661156	619	471	148	28	21072	357526	3.182432	0.189189	2089255	1798995
SRR3360687	1759	1274	485	65	16949	353625	2.626804	0.134021	2124468	1852047
ERR3623409	2385	1472	913	77	58165	244549	1.612267	0.084337	2086047	1911727
SRR13300796	353	261	92	16	2592	472775	2.836957	0.173913	2061019	1633271
GCGS0726	1408	1183	225	44	19012	440641	5.257778	0.195556	2151055	1811040
ERR388316	1081	970	111	33	27328	501493	8.738739	0.297297	2153140	1738054
ERR439364	1423	874	549	36	9102	314553	1.591985	0.065574	2081699	1858458
ERR1549790	2826	1723	1103	88	98749	317145	1.562103	0.079782	2140718	1895999
SRR9985746	1896	1567	329	67	70420	434330	4.762918	0.203647	2117017	1816198
ERR9838748	1624	1227	397	63	40974	553953	3.090680	0.158690	2086505	1606202
SRR1661319	440	189	251	13	926	396419	0.752988	0.051793	2119405	1755039
SRR6765319	1414	913	501	47	32510	293155	1.822355	0.093812	2075520	1870646
ERR9837941	1690	1176	514	63	36348	517189	2.287938	0.122568	2082057	1656776
ERR439329	2644	1357	1287	75	44796	247118	1.054390	0.058275	2117802	1933671
ERR363615	777	587	190	35	28826	317691	3.089474	0.184211	2091543	1888386
ERR4776618	1975	1165	810	73	23941	361753	1.438272	0.090123	2092190	1798840
DRR248432	1591	1042	549	51	26257	324784	1.897996	0.092896	2082182	1843879
ERR349960	1497	1008	489	47	14370	329829	2.061350	0.096115	2129100	1868218
ERR1560859	2275	1494	781	77	39465	354721	1.912932	0.098592	2147317	1864678
ERR449553	789	638	151	25	1729	416667	4.225165	0.165563	2090757	1760330
ERR439349	3455	1555	1900	88	92941	190589	0.818421	0.046316	2089954	1945114
ERR9839429	1089	921	168	39	4925	476662	5.482143	0.232143	2126076	1741918
ERR9669000	1348	951	397	52	16989	467747	2.395466	0.130982	2130140	1731087
ERR9837360	1920	1345	575	63	38330	392118	2.339130	0.109565	2135803	1817068
SRR6765381	247	206	41	14	1558	399903	5.024390	0.341463	2040293	1688348
ERR363640	713	559	154	25	12271	346323	3.629870	0.162338	2144855	1872183
BH71	2033	1081	952	69	39294	263338	1.135504	0.072479	2076632	1878105
SRR1661263	3210	2121	1089	96	57101	335563	1.947658	0.088154	2136185	1865767
ERR9838727	2535	1527	1008	83	85023	263003	1.514881	0.082341	2131489	1946494
ERR349916	2058	1505	553	63	50861	308742	2.721519	0.113924	2136889	1933875
ERR2799259	956	718	238	39	7843	472491	3.016807	0.163866	2092671	1722101
SRR5827243	1115	780	335	35	18474	442870	2.328358	0.104478	2151417	1785331
ERR3623475	1274	1089	185	46	17399	522756	5.886487	0.248649	2139060	1706885
GCGS0529	1557	1317	240	55	33738	419335	5.487500	0.229167	2137878	1853364
25818_2_277	1240	966	274	52	13185	536982	3.525548	0.189781	2143752	1712543
ERR439336	1917	1460	457	57	6493	457945	3.194748	0.124726	2125954	1779605
25818_2_176	1541	1215	326	52	81030	408389	3.726994	0.159509	2140022	1839827
SRR7401678	1426	1171	255	53	49461	497789	4.592157	0.207843	2154642	1732937
GCGS0471	2418	1519	899	74	51149	390024	1.689655	0.082314	2118834	1813398
ERR7977637	920	724	196	34	26948	466268	3.693877	0.173469	2151628	1737000
ERR349897	775	587	188	32	16569	362184	3.122340	0.170213	2125920	1886153
ERR9669009	2591	1698	893	71	47872	353594	1.901456	0.079507	2166367	1885695
SRR5827058	1508	1066	442	53	46503	371628	2.411765	0.119910	2133171	1847787
AUNG320	1051	812	239	45	22965	510563	3.397490	0.188285	2051216	1631534
ERR502215	1532	1024	508	54	29252	311915	2.015748	0.106299	2123099	1888225
GCGS0377	201	131	70	10	8178	294611	1.871429	0.142857	2125841	1876980
SRR3360890	3466	2122	1344	103	74277	303252	1.578869	0.076637	2140954	1898069
ERR9837614	1409	1082	327	52	12594	440204	3.308868	0.159021	2096688	1731278
SRR1661325	0	0	0	0	0	376280	0.000000	0.000000	2103222	1760495
ERR1143670	2230	1462	768	75	40779	358090	1.903646	0.097656	2143002	1865737
LLL017	899	793	106	40	24172	534550	7.481132	0.377358	2072205	1645241
SRR1661157	1276	1014	262	48	34396	421016	3.870229	0.183206	2075808	1760660
ERR3623152	2685	1736	949	104	60406	295869	1.829294	0.109589	2092066	1859183
ERR9839301	2356	1525	831	89	71377	279999	1.835138	0.107100	2128837	1935077
ERR9668845	2517	1717	800	76	31589	422939	2.146250	0.095000	2125883	1758065
ERR363623	548	460	88	29	8239	451427	5.227273	0.329545	2090233	1704549
ERR9839008	1414	1149	265	41	18488	482420	4.335849	0.154717	2141696	1766365
ERR3325658	2556	1986	570	72	54348	404111	3.484210	0.126316	2139116	1816599
ERR7976024	2093	1469	624	81	57498	325651	2.354167	0.129808	2138802	1891175
DRR117953	2069	1217	852	74	46995	320844	1.428404	0.086854	2126482	1884163
SRR6765668	1014	763	251	44	42308	498466	3.039841	0.175299	2122883	1715281
ERR779820	633	411	222	22	1487	407659	1.851351	0.099099	2081694	1749567
ERR449574	483	375	108	20	11570	270601	3.472222	0.185185	2125398	1923519
ERR439326	642	468	174	22	21136	334236	2.689655	0.126437	2119075	1893325
GCGS0515	1296	1065	231	43	23410	416210	4.610390	0.186147	2083454	1778925
ERR363577	2168	1302	866	66	20367	280208	1.503464	0.076212	2083523	1864114
SRR8172041	1496	1208	288	58	35156	492957	4.194445	0.201389	2154605	1738087
SRR13305414	2504	1393	1111	93	62681	328704	1.253825	0.083708	2114446	1835704
FL17	3	0	3	0	0	403400	0.000000	0.000000	2125494	1741452
DRR124801	1602	1157	445	50	62366	332987	2.600000	0.112360	2097292	1859097
ERR2799263	946	827	119	32	15043	469895	6.949580	0.268908	2091715	1686821
ERR349891	1462	1015	447	43	35917	343321	2.270694	0.096197	2101775	1822693
GCs24X	1487	1224	263	58	34250	637774	4.653992	0.220532	2080537	1524849
ERR3851848	566	458	108	23	8593	417070	4.240741	0.212963	2152325	1785734
ERR9839275	1387	853	534	56	56438	449043	1.597378	0.104869	2142174	1748587
ERR502176	584	412	172	24	31300	388729	2.395349	0.139535	2135380	1818198
ERR3623184	1096	869	227	49	39404	423735	3.828194	0.215859	2103138	1786088
SRR3360647	3010	1568	1442	100	94660	229374	1.087379	0.069348	2136787	1965400
ERR449482	2458	1353	1105	86	67808	195719	1.224434	0.077828	2113957	1998313
ERR9837562	1986	1432	554	61	41195	327092	2.584837	0.110108	2143579	1887781
ERR3326073	285	245	40	8	1827	470083	6.125000	0.200000	2021300	1621513
ERR2799254	1673	1189	484	64	30847	496698	2.456612	0.132231	2137710	1729184
ERR9838460	1669	1348	321	55	28832	534873	4.199377	0.171340	2089957	1654183
ERR1528184	1300	1058	242	51	21099	505836	4.371901	0.210744	2098437	1716231
ERR388291	674	556	118	33	11200	436922	4.711864	0.279661	2074168	1731316
ERR3577955	2158	1439	719	69	28458	355202	2.001391	0.095967	2158725	1861003
GCGS0307	1056	930	126	31	33346	430844	7.380952	0.246032	2133764	1812017
ERR9838326	1730	1322	408	57	45632	381115	3.240196	0.139706	2090386	1812485
ERR439359	1671	1087	584	56	21827	260454	1.861301	0.095890	2092029	1921053
ERR439285	914	610	304	36	8871	429180	2.006579	0.118421	2042626	1722632
GCGS0599	1828	995	833	61	42028	225404	1.194478	0.073229	2151137	2007117
SRR25580289	1592	1333	259	62	43369	590230	5.146718	0.239382	2177089	1674572
ERR3851804	1433	1032	401	49	43875	440612	2.573566	0.122195	2128340	1781758
ERR3623168	280	201	79	12	1558	473717	2.544304	0.151899	2157821	1716601
ERR363587	2231	1336	895	69	62186	261172	1.492737	0.077095	2098086	1900708
ERR449486	282	231	51	19	5387	460892	4.529412	0.372549	2137688	1737586
SRR5827369	293	251	42	14	11113	410739	5.976191	0.333333	2117115	1758586
ERR449497	607	492	115	28	8470	317560	4.278261	0.243478	2132067	1935235
ERR1514826	1611	1274	337	58	57773	271692	3.780416	0.172107	2149149	1994571
ERR1469736	2679	2336	343	49	32288	397682	6.810496	0.142857	2118057	1853998
ERR3325790	1647	1282	365	50	30020	405656	3.512329	0.136986	2138675	1794996
LLL049	1416	1048	368	55	35017	419248	2.847826	0.149457	2078511	1722716
ERR388434	2158	1298	860	70	78168	238631	1.509302	0.081395	2136358	1958265
GCGS0200	1182	1000	182	50	48206	441309	5.494505	0.274725	2119110	1803661
ERR349888	1983	1286	697	58	39700	322589	1.845050	0.083214	2123013	1901396
GCGS0819	1903	1349	554	65	32001	427013	2.435018	0.117329	2157608	1811714
AUNG495	1340	887	453	55	35361	476985	1.958057	0.121413	2142774	1736684
SRR2736154	2449	1667	782	74	46265	348597	2.131714	0.094629	2176383	1910026
ERR502217	1369	930	439	47	50605	330707	2.118451	0.107062	2144510	1915319
ERR439320	2761	1452	1309	82	87386	198578	1.109244	0.062643	2097746	1960314
ERR3325260	1252	1028	224	45	5607	476303	4.589286	0.200893	2135996	1747870
GCGS0749	946	793	153	34	14763	436441	5.183007	0.222222	2150771	1782641
ERR779837	1147	860	287	42	28708	337189	2.996516	0.146341	2119642	1895805
SRR13300785	2446	1393	1053	88	79917	391094	1.322887	0.083571	2109362	1786766
ERR3851755	2044	1407	637	62	68123	299445	2.208791	0.097331	2111647	1897394
ERR363612	1220	988	232	47	34837	485075	4.258621	0.202586	2095454	1723764
LLL004	979	784	195	37	36030	480735	4.020513	0.189744	2138818	1752281
ERR502212	1874	1190	684	59	46884	335143	1.739766	0.086257	2140649	1885523
ERR9838776	1579	1158	421	63	13195	435215	2.750594	0.149644	2096768	1739993
ERR2799253	1666	1167	499	55	15351	375230	2.338677	0.110220	2077651	1785080
LLL029	1123	925	198	40	39859	464162	4.671717	0.202020	2128570	1744179
ERR363648	1506	1014	492	62	45913	342751	2.060976	0.126016	2090738	1844180
FL44	543	401	142	24	8490	477170	2.823944	0.169014	2077112	1684162
25818_3_361	1782	1253	529	64	54746	349252	2.368620	0.120983	2138604	1869765
ERR439284	3696	1560	2136	95	45121	206880	0.730337	0.044476	2083977	1923305
ERR9668990	1435	1159	276	48	20840	562495	4.199275	0.173913	2142451	1657346
ERR7975916	2896	1494	1402	82	87453	209134	1.065621	0.058488	2095577	1947548
ERR439356	1230	828	402	36	41225	366004	2.059701	0.089552	2127085	1842759
DDD044	1081	960	121	37	30050	383444	7.933884	0.305785	2077765	1799036
ERR779758	956	533	423	36	16405	269073	1.260047	0.085106	2104875	1902225
ERR3325429	1460	1193	267	43	26896	501313	4.468165	0.161049	2087577	1687640
SRR8071350	470	369	101	18	11362	443869	3.653465	0.178218	2161548	1767489
25818_2_222	1600	1060	540	45	45277	297921	1.962963	0.083333	2137670	1923739
ERR439342	2283	1278	1005	77	45241	305011	1.271642	0.076617	2023538	1799876
ERR388447	1257	909	348	58	26675	393859	2.612069	0.166667	2137029	1844006
ERR449566	1605	1188	417	61	29440	385366	2.848921	0.146283	2096058	1844632
ERR449582	1775	1290	485	73	101343	322137	2.659794	0.150515	2141193	1908319
SRR5827134	1717	977	740	67	60247	222052	1.320270	0.090541	2117229	1993170
GCGS0305	3829	2202	1627	115	102993	235130	1.353411	0.070682	2143250	1974056
ERR1143705	2119	1481	638	64	51838	339061	2.321317	0.100313	2146818	1887688
ERR7986114	1707	1303	404	66	14703	428262	3.225248	0.163366	2094577	1750370
ERR1602751	2181	1465	716	62	40640	308765	2.046089	0.086592	2144205	1929089
ERR4776759	2594	1785	809	86	55977	362026	2.206428	0.106304	2145016	1860789
ERR3325564	1374	1299	75	21	4690	307680	17.320000	0.280000	2139156	1871672
AUNG1305	1625	926	699	66	82116	311415	1.324750	0.094421	2113953	1869108
ERR439373	2042	1330	712	78	29448	396679	1.867977	0.109551	2129873	1821796
ERR3623182	1430	1089	341	52	24814	432039	3.193548	0.152493	2109348	1786898
ERR3325432	1938	1548	390	54	37821	513492	3.969231	0.138462	2148813	1717428
25825_2_43	238	158	80	11	273	454984	1.975000	0.137500	2091115	1667777
ERR3325433	2862	1688	1174	91	70769	330378	1.437819	0.077513	2138158	1881357
SRR5827065	639	432	207	24	23631	353495	2.086957	0.115942	2125228	1826198
CCC040	167	126	41	9	3557	444293	3.073171	0.219512	2144208	1723922
ERR439295	3289	1932	1357	104	86743	240732	1.423729	0.076640	2082605	1934235
GGG026	788	574	214	34	9046	361029	2.682243	0.158879	2119635	1872894
ERR9838553	1778	1286	492	56	37804	453444	2.613821	0.113821	2134395	1781256
GCGS1035	102	65	37	7	892	457232	1.756757	0.189189	2154482	1716663
SRR5827182	835	607	228	27	16856	398725	2.662281	0.118421	2097484	1818730
ERR363609	1993	1191	802	70	87418	292146	1.485037	0.087282	2138935	1920564
ERR363621	1772	1258	514	53	38621	440804	2.447471	0.103113	2074935	1744397
ERR7975949	1580	1095	485	53	72258	280041	2.257732	0.109278	2145532	1974006
ERR3325222	1483	1251	232	44	26816	471849	5.392241	0.189655	2095158	1714953
SRR11904217	1476	1205	271	57	50148	513785	4.446495	0.210332	2131959	1764118
SRR9985872	929	718	211	31	36995	345059	3.402844	0.146919	2113871	1873086
ERR388324	1803	1216	587	44	57109	310554	2.071550	0.074957	2136188	1930209
ERR9838455	1355	1135	220	52	24487	484071	5.159091	0.236364	2105494	1711373
ERR363664	835	599	236	35	16212	486452	2.538136	0.148305	2123531	1708621
ERR439337	1302	731	571	44	22477	324478	1.280210	0.077058	2114566	1864029
DRR248391	335	309	26	9	12295	455778	11.884615	0.346154	2107537	1697362
GGG036	937	735	202	33	23316	400427	3.638614	0.163366	2142429	1832706
ERR9837901	918	675	243	38	56419	443802	2.777778	0.156379	2147862	1800657
ERR3325885	1289	994	295	49	40230	339027	3.369492	0.166102	2101456	1863443
SRR11904288	2119	1522	597	65	40756	316083	2.549414	0.108878	2142514	1927441
LLL020	2610	1573	1037	89	86730	298967	1.516876	0.085824	2067549	1863476
DRR248405	1753	1317	436	47	28858	308387	3.020642	0.107798	2147935	1929559
ERR502211	2365	1370	995	73	84227	251339	1.376884	0.073367	2092860	1914628
25818_3_222	1457	1161	296	52	41746	450773	3.922297	0.175676	2125773	1785800
ERR9839412	2193	1258	935	87	65891	265591	1.345455	0.093048	2130998	1956255
ERR9837890	1364	946	418	46	36327	435656	2.263158	0.110048	2088308	1721734
ERR3578134	974	752	222	30	11832	464472	3.387387	0.135135	2142878	1768192
GCGS0620	3418	1881	1537	88	79699	202703	1.223813	0.057254	2158356	2019544
ERR349976	2421	1474	947	76	94241	380091	1.556494	0.080253	2134367	1826669
ERR1143693	1309	927	382	45	69373	315006	2.426702	0.117801	2160725	1948643
GCGS0432	2168	1704	464	64	41635	421847	3.672414	0.137931	2139986	1849662
ERR363650	497	378	119	14	5467	331380	3.176471	0.117647	2134390	1885884
ERR9838975	911	749	162	30	12621	478394	4.623457	0.185185	2149314	1769754
Node_1	740	372	368	34	34338	157987	1.010870	0.092391	2113309	1998637
Node_2	532	252	280	26	28335	130609	0.900000	0.092857	2178441	2087652
Node_3	578	333	245	29	25582	300179	1.359184	0.118367	2176641	1906781
Node_4	65	10	55	2	5775	278729	0.181818	0.036364	2173907	1907520
Node_5	731	386	345	34	26470	278652	1.118841	0.098551	2196016	1960979
Node_6	241	114	127	15	11353	241007	0.897638	0.118110	2200143	1974267
Node_7	1067	626	441	46	33217	278594	1.419501	0.104308	2172560	1955050
Node_8	307	141	166	14	16167	230791	0.849398	0.084337	2205239	1989346
Node_9	409	253	156	19	16995	341229	1.621795	0.121795	2166864	1882827
Node_10	1345	822	523	50	32366	295119	1.571702	0.095602	2181972	1950138
Node_11	250	92	158	16	11613	240242	0.582278	0.101266	2184999	1953357
Node_12	1608	1005	603	64	47182	304923	1.666667	0.106136	2140532	1917160
Node_13	653	412	241	26	29142	239806	1.709544	0.107884	2190503	1977620
Node_14	161	41	120	8	12020	220345	0.341667	0.066667	2210747	1994699
Node_15	709	585	124	36	18535	425679	4.717742	0.290323	2163233	1817086
Node_16	273	187	86	13	3706	360939	2.174419	0.151163	2175677	1851831
Node_17	585	427	158	24	13470	383555	2.702532	0.151899	2172930	1832234
Node_18	320	217	103	21	8554	387240	2.106796	0.203883	2163100	1817954
Node_19	533	376	157	20	4842	468476	2.394904	0.127389	2148897	1742355
Node_20	920	655	265	44	15603	423568	2.471698	0.166038	2168774	1820790
Node_21	296	200	96	14	3857	361955	2.083333	0.145833	2183756	1840931
Node_22	374	300	74	21	8554	355569	4.054054	0.283784	2191800	1866312
Node_23	63	29	34	6	0	336908	0.852941	0.176471	2195429	1869716
Node_24	748	537	211	34	12375	336066	2.545024	0.161137	2199810	1927019
Node_25	1494	867	627	61	39469	278832	1.382775	0.097289	2200765	1967249
Node_26	994	564	430	39	11388	365404	1.311628	0.090698	2164436	1854165
Node_27	417	212	205	24	7820	371220	1.034146	0.117073	2134521	1807791
Node_28	506	344	162	22	4716	351697	2.123457	0.135802	2148455	1847507
Node_29	821	576	245	37	10354	323124	2.351020	0.151020	2179338	1940238
Node_30	341	277	64	22	5409	422074	4.328125	0.343750	2142176	1800788
Node_31	287	166	121	14	5198	383431	1.371901	0.115702	2146549	1803098
Node_32	298	189	109	23	5436	362703	1.733945	0.211009	2162746	1829982
Node_33	531	404	127	30	5652	417893	3.181102	0.236220	2167335	1828294
Node_34	49	24	25	3	0	350482	0.960000	0.120000	2187171	1847628
Node_35	230	95	135	10	44	348987	0.703704	0.074074	2189545	1858173
Node_36	1168	808	360	47	8355	398927	2.244444	0.130556	2163246	1841458
Node_37	659	455	204	29	7333	340614	2.230392	0.142157	2196230	1901073
Node_38	1355	775	580	56	27085	302683	1.336207	0.096552	2200583	1959712
Node_39	244	71	173	7	51	247760	0.410405	0.040462	2204619	1972106
Node_40	277	144	133	19	21111	238735	1.082707	0.142857	2214105	1997448
Node_41	381	209	172	25	40915	219934	1.215116	0.145349	2218060	2018971
Node_42	806	467	339	36	56319	248527	1.377581	0.106195	2175126	1983227
Node_43	154	39	115	8	28698	201387	0.339130	0.069565	2225118	2026556
Node_44	944	751	193	35	40298	363129	3.891192	0.181347	2160344	1872567
Node_45	127	77	50	10	10247	341544	1.540000	0.200000	2179421	1854966
Node_46	974	789	185	38	28912	435712	4.264865	0.205405	2172237	1832126
Node_47	265	198	67	23	21858	353709	2.955224	0.343284	2184854	1860637
Node_48	477	394	83	25	21858	336617	4.746988	0.301205	2201306	1901758
Node_49	1404	1202	202	53	56321	401262	5.950495	0.262376	2157798	1865676
Node_50	220	141	79	13	17779	307640	1.784810	0.164557	2206328	1914358
Node_51	18	4	14	1	0	306991	0.285714	0.071429	2158511	1871778
Node_52	265	162	103	13	17779	306643	1.572816	0.126214	2171080	1888367
Node_53	63	28	35	7	10203	298798	0.800000	0.200000	2207991	1916616
Node_54	151	54	97	8	10254	297975	0.556701	0.082474	2211153	1917755
Node_55	557	329	228	24	37626	297512	1.442982	0.105263	2211418	1939091
Node_56	75	28	47	5	51	375421	0.595745	0.106383	2167115	1809355
Node_57	921	718	203	36	20065	400321	3.536946	0.177340	2164474	1808052
Node_58	475	310	165	25	21692	372640	1.878788	0.151515	2188001	1845618
Node_59	1719	1302	417	71	28075	439302	3.122302	0.170264	2168482	1807323
Node_60	486	347	139	22	18588	375153	2.496403	0.158273	2181613	1838718
Node_61	710	478	232	41	48723	353383	2.060345	0.176724	2197173	1884639
Node_62	2019	1501	518	78	60510	388921	2.897683	0.150579	2136727	1837356
Node_63	1112	753	359	49	73731	319986	2.097493	0.136490	2199574	1930375
Node_64	360	253	107	26	43062	276439	2.364486	0.242991	2214412	1959149
Node_65	1113	787	326	38	74545	259094	2.414110	0.116564	2214996	2007737
Node_66	1471	938	533	57	55654	305449	1.759850	0.106942	2135251	1884661
Node_67	913	564	349	34	36481	339265	1.616046	0.097421	2156281	1907144
Node_68	1500	912	588	55	86591	265929	1.551020	0.093537	2178054	1978330
Node_69	351	147	204	15	35668	210507	0.720588	0.073529	2216272	2017900
Node_70	312	136	176	15	26512	200859	0.772727	0.085227	2227715	2044651
Node_71	278	148	130	20	18913	233506	1.138462	0.153846	2166505	1956240
Node_72	745	475	270	35	46425	378437	1.759259	0.129630	2152360	1821256
Node_73	540	329	211	30	26971	352364	1.559242	0.142180	2163607	1874199
Node_74	565	392	173	26	26940	308319	2.265896	0.150289	2168295	1927226
Node_75	848	689	159	34	28003	368793	4.333333	0.213836	2168984	1860801
Node_76	451	263	188	24	18713	324381	1.398936	0.127660	2179894	1898749
Node_77	664	473	191	28	18713	369438	2.476440	0.146597	2143483	1850584
Node_78	259	126	133	17	15033	310730	0.947368	0.127820	2172613	1892398
Node_79	1858	1259	599	73	74425	294926	2.101836	0.121870	2193354	1949093
Node_80	661	308	353	28	26940	256072	0.872521	0.079320	2197713	1985916
Node_81	1038	615	423	42	66902	222897	1.453901	0.099291	2202714	2027052
Node_82	716	385	331	31	29271	184780	1.163142	0.093656	2227825	2102452
Node_83	294	219	75	17	12814	278464	2.920000	0.226667	2154661	1915821
Node_84	322	191	131	17	12814	251547	1.458015	0.129771	2165084	1953701
Node_85	334	162	172	21	10434	221632	0.941860	0.122093	2174047	1985442
Node_86	1244	1004	240	55	36610	358197	4.183333	0.229167	2163379	1908567
Node_87	597	400	197	33	17583	263659	2.030457	0.167513	2176992	1973373
Node_88	356	205	151	24	10508	210816	1.357616	0.158940	2182428	1994874
Node_89	586	316	270	28	25488	194280	1.170370	0.103704	2191060	2021500
Node_90	621	359	262	29	21307	254417	1.370229	0.110687	2154285	1928487
Node_91	2169	1386	783	76	66145	236415	1.770115	0.097063	2171979	2005462
Node_92	625	351	274	24	19026	173352	1.281022	0.087591	2197852	2074551
Node_93	481	190	291	23	18816	126799	0.652921	0.079038	2228103	2112980
Node_94	390	116	274	17	21267	116096	0.423358	0.062044	2228108	2128393
Node_95	482	224	258	26	33011	100695	0.868217	0.100775	2228108	2150489
Node_96	1268	545	723	43	56930	78538	0.753804	0.059474	2228131	2202410
Node_97	423	259	164	21	23037	247436	1.579268	0.128049	2123932	1920580
Node_98	633	425	208	27	23114	222368	2.043269	0.129808	2138291	1979043
Node_99	494	316	178	23	22902	174801	1.775281	0.129213	2166525	2058053
Node_100	2443	1262	1181	81	85172	120054	1.068586	0.068586	2174144	2125776
Node_101	2703	1581	1122	95	109008	136454	1.409091	0.084670	2136900	2092660
Node_102	756	282	474	30	38233	52006	0.594937	0.063291	2186109	2161763
Node_103	463	190	273	25	25728	25728	0.695971	0.091575	2228181	2228181
Node_104	1025	487	538	39	40700	131801	0.905204	0.072491	2174525	2082063
Node_105	296	203	93	21	28729	342181	2.182796	0.225806	2171219	1861566
Node_106	2079	1620	459	75	114243	403400	3.529412	0.163399	2172260	1863516
Node_107	495	321	174	25	33770	320499	1.844828	0.143678	2189833	1954425
Node_108	605	385	220	26	37961	244607	1.750000	0.118182	2192268	2005812
Node_109	792	515	277	36	34430	195307	1.859206	0.129964	2194598	2065023
Node_110	1192	587	605	34	40601	134332	0.970248	0.056198	2201133	2108768
Node_111	1073	557	516	48	54703	95280	1.079457	0.093023	2207472	2161688
Node_112	440	287	153	30	41812	221864	1.875817	0.196078	2179643	2007281
Node_113	328	175	153	20	26345	219099	1.143791	0.130719	2183053	2009633
Node_114	412	210	202	19	20718	180657	1.039604	0.094059	2197462	2066077
Node_115	1011	511	500	35	48923	137215	1.022000	0.070000	2199825	2101184
Node_116	655	355	300	29	50875	184648	1.183333	0.096667	2164080	2046951
Node_117	706	277	429	25	44450	126260	0.645688	0.058275	2172340	2076621
Node_118	2202	1124	1078	79	94015	103548	1.042672	0.073284	2204833	2161976
Node_119	762	286	476	31	45724	46426	0.600840	0.065126	2214975	2205931
Node_120	2547	1545	1002	97	92565	215054	1.541916	0.096806	2123873	1971356
Node_121	713	274	439	28	30475	160226	0.624146	0.063781	2147700	2015632
Node_122	679	516	163	29	27237	373317	3.165644	0.177914	2132675	1838250
Node_123	271	126	145	13	11001	314242	0.868966	0.089655	2147110	1862277
Node_124	954	662	292	40	33752	301920	2.267123	0.136986	2148992	1918512
Node_125	486	292	194	20	14354	240838	1.505155	0.103093	2210430	2002385
Node_126	703	466	237	38	30119	332433	1.966245	0.160338	2175513	1891296
Node_127	259	151	108	12	11048	298954	1.398148	0.111111	2191616	1906754
Node_128	222	202	20	10	2202	484206	10.100000	0.500000	2190627	1734992
Node_129	16	9	7	1	0	470443	1.285714	0.142857	2188886	1733696
Node_130	22	3	19	1	0	470046	0.157895	0.052632	2191878	1735848
Node_131	44	37	7	8	1689	470046	5.285714	1.142857	2196872	1739734
Node_132	63	56	7	6	0	470040	8.000000	0.857143	2200604	1757914
Node_133	8	8	0	2	0	464770	0.000000	0.000000	2177621	1729250
Node_134	4	0	4	0	0	464770	0.000000	0.000000	2187030	1736385
Node_135	4	0	4	0	0	464770	0.000000	0.000000	2195860	1743085
